DATE,BOGZ1FL073165103Q
01-01-2002,6972
01-04-2002,6813
01-07-2002,6289
01-10-2002,6075
01-01-2003,5841
01-04-2003,5507
01-07-2003,6034
01-10-2003,5919
01-01-2004,5592
01-04-2004,6159
01-07-2004,5870
01-10-2004,5736
01-01-2005,5768
01-04-2005,5708
01-07-2005,5764
01-10-2005,6226
01-01-2006,6247
01-04-2006,6602
01-07-2006,6560
01-10-2006,6244
01-01-2007,6215
01-04-2007,6358
01-07-2007,6552
01-10-2007,6225
01-01-2008,5872
01-04-2008,6087
01-07-2008,6322
01-10-2008,5841
01-01-2009,5060
01-04-2009,5012
01-07-2009,5146
01-10-2009,4921
01-01-2010,5002
01-04-2010,4884
01-07-2010,4437
01-10-2010,4436
01-01-2011,4847
01-04-2011,4651
01-07-2011,4292
01-10-2011,4002
01-01-2012,3922
01-04-2012,3795
01-07-2012,3554
01-10-2012,3359
01-01-2013,3497
01-04-2013,3672
01-07-2013,4440
01-10-2013,4293
01-01-2014,4365
01-04-2014,4228
01-07-2014,4135
01-10-2014,3964
01-01-2015,3717
01-04-2015,3819
01-07-2015,3947
01-10-2015,3902
01-01-2016,3738
01-04-2016,3589
01-07-2016,3446
01-10-2016,3842
01-01-2017,4173
01-04-2017,3980
01-07-2017,3884
01-10-2017,3922
01-01-2018,4282
01-04-2018,4545
01-07-2018,4567
01-10-2018,4785
01-01-2019,4374
01-04-2019,4011
01-07-2019,3658
01-10-2019,3700
01-01-2020,3522
01-04-2020,3239
01-07-2020,2947
01-10-2020,2752
01-01-2021,2899
01-04-2021,2988
01-07-2021,2864
01-10-2021,3079
01-01-2022,3822
01-04-2022,5266
01-07-2022,5623
01-10-2022,6665
01-01-2023,6372
01-04-2023,6511
01-07-2023,7040
