DATE,CUUR0000SETG
2001-01-01,210.200
2001-02-01,212.100
2001-03-01,210.000
2001-04-01,208.300
2001-05-01,209.300
2001-06-01,216.300
2001-07-01,216.100
2001-08-01,213.700
2001-09-01,212.700
2001-10-01,209.100
2001-11-01,205.100
2001-12-01,204.800
2002-01-01,205.800
2002-02-01,207.300
2002-03-01,207.900
2002-04-01,209.700
2002-05-01,211.900
2002-06-01,211.300
2002-07-01,209.700
2002-08-01,209.400
2002-09-01,206.500
2002-10-01,203.400
2002-11-01,202.300
2002-12-01,203.000
2003-01-01,202.200
2003-02-01,203.600
2003-03-01,206.100
2003-04-01,207.200
2003-05-01,211.600
2003-06-01,214.400
2003-07-01,216.700
2003-08-01,213.800
2003-09-01,211.200
2003-10-01,211.300
2003-11-01,207.900
2003-12-01,205.600
2004-01-01,206.300
2004-02-01,208.100
2004-03-01,209.900
2004-04-01,211.500
2004-05-01,210.700
2004-06-01,212.300
2004-07-01,214.400
2004-08-01,209.700
2004-09-01,205.300
2004-10-01,206.500
2004-11-01,208.600
2004-12-01,205.400
2005-01-01,204.400
2005-02-01,205.900
2005-03-01,210.100
2005-04-01,215.000
2005-05-01,218.000
2005-06-01,222.400
2005-07-01,226.100
2005-08-01,223.300
2005-09-01,220.700
2005-10-01,222.700
2005-11-01,220.800
2005-12-01,217.600
2006-01-01,219.900
2006-02-01,221.300
2006-03-01,222.600
2006-04-01,225.300
2006-05-01,229.200
2006-06-01,234.300
2006-07-01,237.400
2006-08-01,234.300
2006-09-01,229.500
2006-10-01,226.900
2006-11-01,220.400
2006-12-01,217.800
2007-01-01,221.403
2007-02-01,224.061
2007-03-01,225.893
2007-04-01,227.567
2007-05-01,228.251
2007-06-01,233.389
2007-07-01,235.767
2007-08-01,233.112
2007-09-01,230.694
2007-10-01,232.725
2007-11-01,233.758
2007-12-01,233.408
2008-01-01,234.334
2008-02-01,235.724
2008-03-01,242.929
2008-04-01,244.164
2008-05-01,251.600
2008-06-01,264.681
2008-07-01,270.002
2008-08-01,268.487
2008-09-01,261.318
2008-10-01,252.323
2008-11-01,243.385
2008-12-01,237.638
2009-01-01,234.394
2009-02-01,231.529
2009-03-01,230.735
2009-04-01,229.827
2009-05-01,228.878
2009-06-01,232.540
2009-07-01,238.932
2009-08-01,238.997
2009-09-01,239.855
2009-10-01,241.060
2009-11-01,244.226
2009-12-01,245.203
2010-01-01,241.058
2010-02-01,241.967
2010-03-01,244.766
2010-04-01,249.135
2010-05-01,253.275
2010-06-01,257.825
2010-07-01,257.337
2010-08-01,254.717
2010-09-01,252.525
2010-10-01,251.435
2010-11-01,254.995
2010-12-01,257.172
2011-01-01,259.634
2011-02-01,265.327
2011-03-01,270.366
2011-04-01,272.187
2011-05-01,271.417
2011-06-01,272.297
2011-07-01,272.868
2011-08-01,272.949
2011-09-01,271.199
2011-10-01,269.158
2011-11-01,268.478
2011-12-01,266.958
2012-01-01,263.968
2012-02-01,265.830
2012-03-01,269.566
2012-04-01,275.272
2012-05-01,277.929
2012-06-01,276.784
2012-07-01,273.033
2012-08-01,268.755
2012-09-01,268.791
2012-10-01,270.681
2012-11-01,272.244
2012-12-01,273.364
2013-01-01,273.577
2013-02-01,274.684
2013-03-01,280.356
2013-04-01,282.364
2013-05-01,286.896
2013-06-01,286.832
2013-07-01,281.394
2013-08-01,273.893
2013-09-01,273.182
2013-10-01,277.556
2013-11-01,282.318
2013-12-01,273.161
2014-01-01,266.949
2014-02-01,269.873
2014-03-01,273.384
2014-04-01,282.623
2014-05-01,295.848
2014-06-01,296.981
2014-07-01,281.288
2014-08-01,269.167
2014-09-01,267.142
2014-10-01,272.470
2014-11-01,275.645
2014-12-01,265.356
2015-01-01,262.179
2015-02-01,264.757
2015-03-01,264.248
2015-04-01,269.266
2015-05-01,283.640
2015-06-01,287.358
2015-07-01,272.505
2015-08-01,261.386
2015-09-01,259.430
2015-10-01,266.338
2015-11-01,270.809
2015-12-01,262.787
2016-01-01,261.893
2016-02-01,264.528
2016-03-01,265.017
2016-04-01,272.167
2016-05-01,280.676
2016-06-01,280.801
2016-07-01,266.626
2016-08-01,258.167
2016-09-01,257.462
2016-10-01,259.062
2016-11-01,261.563
2016-12-01,256.802
2017-01-01,258.551
2017-02-01,264.470
2017-03-01,266.591
2017-04-01,273.206
2017-05-01,276.569
2017-06-01,274.514
2017-07-01,263.345
2017-08-01,253.737
2017-09-01,254.650
2017-10-01,259.699
2017-11-01,259.341
2017-12-01,252.719
2018-01-01,253.228
2018-02-01,259.261
2018-03-01,261.019
2018-04-01,264.990
2018-05-01,268.864
2018-06-01,266.978
2018-07-01,259.360
2018-08-01,253.387
2018-09-01,254.266
2018-10-01,258.420
2018-11-01,256.986
2018-12-01,248.489
2019-01-01,248.142
2019-02-01,254.643
2019-03-01,256.023
2019-04-01,261.903
2019-05-01,271.370
2019-06-01,269.935
2019-07-01,261.165
2019-08-01,257.167
2019-09-01,258.612
2019-10-01,261.927
2019-11-01,261.770
2019-12-01,250.902
2020-01-01,252.590
2020-02-01,258.708
2020-03-01,237.553
2020-04-01,219.993
2020-05-01,217.731
2020-06-01,219.680
2020-07-01,219.055
2020-08-01,212.132
2020-09-01,215.875
2020-10-01,224.953
2020-11-01,230.478
2020-12-01,220.685
2021-01-01,217.500
2021-02-01,216.869
2021-03-01,218.036
2021-04-01,235.401
2021-05-01,252.454
2021-06-01,257.579
2021-07-01,249.703
2021-08-01,229.893
2021-09-01,219.394
2021-10-01,222.577
2021-11-01,229.161
2021-12-01,225.937
2022-01-01,226.308
2022-02-01,234.857
2022-03-01,250.489
2022-04-01,286.601
2022-05-01,318.823
2022-06-01,318.712
2022-07-01,297.077
2022-08-01,278.352
2022-09-01,278.880
2022-10-01,285.095
2022-11-01,283.705
2022-12-01,268.746
2023-01-01,265.099
2023-02-01,277.142
2023-03-01,281.448
2023-04-01,287.398
2023-05-01,290.442
2023-06-01,276.382
2023-07-01,257.946
2023-08-01,252.113
2023-09-01,252.991
2023-10-01,259.852
2023-11-01,260.699
